,lat,lng
29154120,-20.3222328,-40.3950065
29141363,-20.2980009,-40.3626108
29236980,,
29480000,,
29169694,-20.4511505,-40.354287
29101770,-20.3537595,-40.2866574
29908270,-19.3356047,-40.0590461
29285000,,
29168140,-18.1252862,-40.3610548
29160260,-20.200998,-40.2180214
29060180,-20.2846481,-40.2940489
29390000,,
29119290,-18.7160984,-39.8390287
29300100,-20.8491414,-41.1117686
29345000,,
29980000,,
29927000,,
29278988,-20.4171889,-41.1793598
29146150,-20.3416464,-40.3909739
29795971,,
29290000,,
29700070,-19.5363245,-40.6310278
29302030,-20.2987759,-40.3630608
29148612,-19.3592761,-40.0544598
29047057,-20.3031573,-40.3129806
29164544,-20.1450138,-40.2334811
29135026,-20.3103842,-40.3888804
29470000,,
29947510,,
29102380,-20.257194,-40.4296432
29090070,-20.2787584,-40.2867049
29128488,-20.5086221,-40.3794652
29143650,-20.345493,-40.3847995
29136030,-20.3579619,-40.4168287
29302340,-20.8529689,-41.1351738
29313357,-20.8347231,-41.1518616
29665000,,
29135504,-20.338987,-40.4305326
29179205,-20.1154943,-40.2871449
29032379,-20.2729985,-40.3215515
29500000,,
29703155,-19.5227844,-40.6394633
29824000,,
29303225,,
29745000,,
29903330,-20.6578282,-40.5046222
29045055,-20.2923464,-40.3066606
29706400,,
29785000,,
29176424,-20.1272278,-40.303557
45910972,,
29100201,,
29141039,-20.2161905,-40.3185697
29700010,-21.0267632,-41.6545682
29118590,-20.3466525,-40.3307057
29310562,,
29255000,,
29167526,,
29313450,,
29165460,-20.1994253,-40.2500767
29338000,,
29230000,,
29830000,,
29172844,,
29178345,-20.3275826,-40.3787081
29055350,-20.2993787,-40.2953098
29670000,,
29163335,-20.2167463,-40.2434241
29200740,,
29260000,,
29943670,,
29176202,-19.9302712,-40.1410336
29540000,,
29770000,,
29170163,-20.1489358,-40.2736047
29105450,-20.2606562,-40.3849453
29112460,-20.3665006,-40.3589165
29151820,-20.3195465,-40.3892186
29090290,-20.2619618,-40.266016
29117170,-20.6468457,-40.5220842
29156593,-20.2784932,-40.3973829
29120160,-20.3358999,-40.4187441
29300125,-20.8497219,-41.1477499
29197105,-20.2481254,-40.3902273
29725000,,
29830985,-20.731259,-40.772698
29090745,-20.2549431,-40.265869
29134523,-19.8756628,-40.8794684
29630000,,
29148070,-20.3363104,-40.3994949
29600970,-19.5178082,-40.6553202
29395000,,
29015180,-20.3199434,-40.3376969
29163542,-20.3371095,-40.3782827
29902400,,
29315828,-20.4397517,-40.341002
29045974,-20.3113777,-40.3023876
29400000,,
29032567,-20.4412146,-40.3405142
29135268,-18.5394356,-40.2951452
29136055,-20.269472,-40.4193223
29160055,-20.2267442,-40.2771664
29360000,,
29620000,,
29047565,-20.3096051,-40.3025139
29060010,-20.2791765,-40.2943439
45936000,,
29169080,,
29043580,-20.2937985,-40.3237579
29148040,-20.2734352,-40.3197101
29103230,-20.214505,-40.233692
29709012,,
29144743,-20.2972494,-40.3857635
29143678,-20.3531433,-40.3847772
29118570,-20.3468642,-40.3387999
29176791,-19.1881266,-40.0914715
29315010,-20.8827486,-41.0987298
29317434,,
29295000,,
29164042,-20.318442,-40.3479383
29119005,-20.1363752,-40.208008
29709040,,
29820970,,
29157293,-20.2512652,-40.3859516
29580000,,
29134494,-20.3583273,-40.4523843
29116310,-20.3399715,-40.3387475
29169830,,
29300150,,
29138472,-20.3350746,-40.4296127
29055643,-20.4372309,-40.3445944
29920000,,
29702813,-19.5385283,-40.638074
29700560,,
29052077,-20.3185896,-40.3022981
29048600,-20.2906196,-40.3177253
29172841,-20.1795098,-40.2106765
29160566,-20.242154,-40.267086
29157278,-20.2659538,-40.4009745
29199750,40.3261179,-5.9740974
29145422,-20.3438421,-40.4039921
29640000,,
29112025,-20.3456403,-40.2991246
29152860,-20.3010328,-40.375032
29701280,-20.2208525,-40.2569854
29700220,,
29047461,-20.3007627,-40.3047389
29160558,-20.3343649,-40.3189142
29704707,,
29105680,-19.8370243,-40.2713139
29140830,-20.3010328,-40.375032
29700190,-19.53357735,-40.6288012456269
29102568,-20.3781249,-40.3126923
29112480,-20.3313075,-40.3897896
29176139,-20.1246654,-40.3169451
29192863,-20.3244052,-40.38944
29660000,,
29163545,-20.2134021,-40.2268315
29106005,,
29040715,-20.3150131,-40.3200355
29160445,-18.7211134,-39.8901996
29820000,,
29161608,-20.2190535,-40.2757995
29162278,-20.4741065,-40.346094
74484410,,
75136127,-16.3766329,-48.9861136
74303075,-16.66782,-49.2316954
74354060,-16.7762166,-49.2992189
75400000,,
74110020,-17.7452299,-48.6534139
74715570,-16.6801456,-49.2121692
74988688,-16.8314085,-49.2221777
74640205,-16.668889,-49.2400591
74370703,-16.7342309,-49.3671275
74210005,-16.6882034,-49.2842535
75200000,,
74475321,-16.389582,-48.9586704
76490000,,
74855460,-14.8590147,-49.3428298
75380000,,
74470532,-16.6275604,-49.3588608
74890210,-16.7473773,-49.2007435
75902235,,
76300000,,
75136132,-16.3773079,-48.9867832
74075150,-16.6752473,-49.2717136
75160000,,
74030071,-16.6064669,-49.3273506
77320000,,
72980000,,
64615000,,
74223110,-16.7046657,-49.2641872
74473450,-16.6273646,-49.317712
74850480,-16.7246814,-49.2382713
74767004,-16.7267831,-49.2380232
74573100,-16.7019214,-49.4129552
74435250,-15.2927731,-49.1248497
74917350,-16.6672267,-49.2820975
76340000,,
75904050,-17.7652499,-50.9183968
74825280,-16.7182401,-49.2504113
74635160,-16.6831129,-49.278758
